echo_variable_name,echo_variable_label,echo_variable_value_coded_labels,combined_labels
air_inf_b1,1. Has the child used any medications for treatment of recurrent wheezing or cough?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Has the child used any medications for treatment of recurrent wheezing or cough?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_b1a___1,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Bronchodilator (e.g., Albuterol, Proventil, Proair)","Bronchodilator (e.g., Albuterol, Proventil, Proair): No, Bronchodilator (e.g., Albuterol, Proventil, Proair): Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Bronchodilator (e.g., Albuterol, Proventil, Proair): Bronchodilator (e.g., Albuterol, Proventil, Proair): No, Bronchodilator (e.g., Albuterol, Proventil, Proair): Yes"
air_inf_b1a___2,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex)","Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex): No, Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex): Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex): Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex): No, Inhaled steroid (e.g., Flovent, Pulmicort, Asmanex): Yes"
air_inf_b1a___3,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Montelukast (e.g., Singulair)","Montelukast (e.g., Singulair): No, Montelukast (e.g., Singulair): Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Montelukast (e.g., Singulair): Montelukast (e.g., Singulair): No, Montelukast (e.g., Singulair): Yes"
air_inf_b1a___4,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Oral steroid course (ever in the past)","Oral steroid course (ever in the past): No, Oral steroid course (ever in the past): Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Oral steroid course (ever in the past): Oral steroid course (ever in the past): No, Oral steroid course (ever in the past): Yes"
air_inf_b1a___5,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Antibiotics course for a wheezing-related illness (ever in the past)","Antibiotics course for a wheezing-related illness (ever in the past): No, Antibiotics course for a wheezing-related illness (ever in the past): Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Antibiotics course for a wheezing-related illness (ever in the past): Antibiotics course for a wheezing-related illness (ever in the past): No, Antibiotics course for a wheezing-related illness (ever in the past): Yes"
air_inf_b1a___6,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Other","Other: No, Other: Yes","1a. Has the child used any medications for treatment of recurrent wheezing or cough? If yes, which ones?: Other: Other: No, Other: Yes"
xair_inf_b1a_sp,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? Other, Specify (de-identified)",,"1a. Has the child used any medications for treatment of recurrent wheezing or cough? Other, Specify (de-identified): "
air_inf_c1,1. Has the child ever been diagnosed with bronchiolitis (bronchiolitis is an infection in the lungs with wheezing and rapid breathing that only occurs in children under 24 months old)?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Has the child ever been diagnosed with bronchiolitis (bronchiolitis is an infection in the lungs with wheezing and rapid breathing that only occurs in children under 24 months old)?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c1a,1.a. How many times has bronchiolitis been diagnosed?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","1.a. How many times has bronchiolitis been diagnosed?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c1b,1.b. At what age was the child first diagnosed with bronchiolitis?,,1.b. At what age was the child first diagnosed with bronchiolitis?: 
air_inf_c1c,1.c. Has the child ever been hospitalized overnight for bronchiolitis? [Do not include emergency room visits],"Yes, No, Not applicable, Declined, Don't know, Missing","1.c. Has the child ever been hospitalized overnight for bronchiolitis? [Do not include emergency room visits]: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c1c1,1.c.1. How many times has the child been hospitalized for bronchiolitis (not including emergency room visits)?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","1.c.1. How many times has the child been hospitalized for bronchiolitis (not including emergency room visits)?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c2,2. Has the child ever been diagnosed with an ear infection (also called otitis media)?,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Has the child ever been diagnosed with an ear infection (also called otitis media)?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c2a,2.a. How many times has an ear infection been diagnosed?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","2.a. How many times has an ear infection been diagnosed?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c3,3. Has the child ever been diagnosed with croup?,"Yes, No, Not applicable, Declined, Don't know, Missing","3. Has the child ever been diagnosed with croup?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c3a,3.a. How many times has croup been diagnosed?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","3.a. How many times has croup been diagnosed?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c3b,3.b. Has the child ever been hospitalized overnight for croup?  [Do not include emergency room visits],"Yes, No, Not applicable, Declined, Don't know, Missing","3.b. Has the child ever been hospitalized overnight for croup?  [Do not include emergency room visits]: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c3b1,3.b.1. How many times has the child been hospitalized for croup?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","3.b.1. How many times has the child been hospitalized for croup?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c3c,"3.c. Has the child been given a course of steroids, either oral or by injection (a shot) for croup? (i.e., dexamethasone or prednisolone)?","Yes, No, Not applicable, Declined, Don't know, Missing","3.c. Has the child been given a course of steroids, either oral or by injection (a shot) for croup? (i.e., dexamethasone or prednisolone)?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c4,4. Has the child ever been diagnosed with pneumonia or bronchitis?,"Yes, No, Not applicable, Declined, Don't know, Missing","4. Has the child ever been diagnosed with pneumonia or bronchitis?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c4a,4.a. How many times has pneumonia or bronchitis been diagnosed?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","4.a. How many times has pneumonia or bronchitis been diagnosed?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_c4b,4.b. Has the child ever been hospitalized overnight for pneumonia or bronchitis? [Do not include emergency room visits],"Yes, No, Not applicable, Declined, Don't know, Missing","4.b. Has the child ever been hospitalized overnight for pneumonia or bronchitis? [Do not include emergency room visits]: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_c4b1,4.b.1. How many times has the child been hospitalized for pneumonia or bronchitis?,"1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing","4.b.1. How many times has the child been hospitalized for pneumonia or bronchitis?: 1 time, 2-4 times, 5 or more times, Not applicable, Declined, Don't know, Missing"
air_inf_d1,1. Has the child ever had an itchy rash which was coming and going for at least six months?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Has the child ever had an itchy rash which was coming and going for at least six months?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_d2,2. Has your child had this itchy rash at any time in the past?,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Has your child had this itchy rash at any time in the past?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_d3,"3. Has this itchy rash at any time affected any of the following places: the folds of the elbows, behind  the knees, in front of the ankles, under the buttocks, or around the neck, ears, or eyes?","Yes, No, Not applicable, Declined, Don't know, Missing","3. Has this itchy rash at any time affected any of the following places: the folds of the elbows, behind  the knees, in front of the ankles, under the buttocks, or around the neck, ears, or eyes?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_d4,4. At what age did this itchy rash first occur?,,4. At what age did this itchy rash first occur?: 
air_inf_d5,5. Has this rash cleared completely at any time?,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Has this rash cleared completely at any time?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_d6,"6. How often, on average, has the child been kept awake or disturbed from sleep by this itchy rash?","Never, Less than one time per week, One or more times per week, Not applicable, Declined, Don't know, Missing","6. How often, on average, has the child been kept awake or disturbed from sleep by this itchy rash?: Never, Less than one time per week, One or more times per week, Not applicable, Declined, Don't know, Missing"
air_inf_d7,7. Has the child ever had eczema (also called atopic dermatitis)?,"Yes, No, Not applicable, Declined, Don't know, Missing","7. Has the child ever had eczema (also called atopic dermatitis)?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_d7a,7.a. Has a doctor or health care provider ever diagnosed the child with eczema or atopic dermatitis?,"Yes, No, Not applicable, Declined, Don't know, Missing","7.a. Has a doctor or health care provider ever diagnosed the child with eczema or atopic dermatitis?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e1,1. Do you believe that the child has ever had a food allergy?,"Yes, No, Not applicable, Declined, Don't know, Missing","1. Do you believe that the child has ever had a food allergy?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e2,2. Has a doctor or other healthcare provider ever diagnosed the child with a food allergy?,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Has a doctor or other healthcare provider ever diagnosed the child with a food allergy?: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3a1a,1a. Has the child ever tried the food? Egg,"Yes, No, Not applicable, Declined, Don't know, Missing","1a. Has the child ever tried the food? Egg: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3a1b,1b. At what age (in months) was the food first introduced? Egg,,1b. At what age (in months) was the food first introduced? Egg: 
air_inf_e3a2,2. Do you believe the child has been allergic to the food? Egg,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Do you believe the child has been allergic to the food? Egg: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3a3,3. Has a doctor or healthcare provider said child is allergic to food? Egg,"Yes, No, Not applicable, Declined, Don't know, Missing","3. Has a doctor or healthcare provider said child is allergic to food? Egg: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3a4, 4. Age (in months) allergy to food first noticed: Egg,, 4. Age (in months) allergy to food first noticed: Egg: 
air_inf_e3a5,5. Still allergic to food? Egg,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Still allergic to food? Egg: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3b1a,1a. Has the child ever tried the food? Cow's Milk,"Yes, No, Not applicable, Declined, Don't know, Missing","1a. Has the child ever tried the food? Cow's Milk: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3b1b,1b. At what age (in months) was the food first introduced? Cow's Milk,,1b. At what age (in months) was the food first introduced? Cow's Milk: 
air_inf_e3b2,2. Do you believe the child has been allergic to the food? Cow's Milk,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Do you believe the child has been allergic to the food? Cow's Milk: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3b3,3. Has a doctor or healthcare provider said child is allergic to food? Cow's Milk,"Yes, No, Not applicable, Declined, Don't know, Missing","3. Has a doctor or healthcare provider said child is allergic to food? Cow's Milk: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3b4, 4. Age (in months) allergy to food first noticed: Cow's Milk,, 4. Age (in months) allergy to food first noticed: Cow's Milk: 
air_inf_e3b5,5. Still allergic to food? Cow's Milk,"Yes, No, Not applicable, Declined, Don't know, Missing","5. Still allergic to food? Cow's Milk: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3c1a,1a. Has the child ever tried the food? Peanuts,"Yes, No, Not applicable, Declined, Don't know, Missing","1a. Has the child ever tried the food? Peanuts: Yes, No, Not applicable, Declined, Don't know, Missing"
air_inf_e3c1b,1b. At what age (in months) was the food first introduced? Peanuts,,1b. At what age (in months) was the food first introduced? Peanuts: 
air_inf_e3c2,2. Do you believe the child has been allergic to the food? Peanuts,"Yes, No, Not applicable, Declined, Don't know, Missing","2. Do you believe the child has been allergic to the food? Peanuts: Yes, No, Not applicable, Declined, Don't know, Missing"
