ECHO Variable,ECHO Variable Description,UKMCS Variable,UKMCS Variable Description,Similarity Score
3.i.2. Do you believe the child has been allergic to the food?: Other Food 1,"3.i.2. Do you believe the child has been allergic to the food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8384251181239583
3.i.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 1,"3.i.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing",Reasons not had any immunisations MC3   ,"Reasons not had any immunisations MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Administrative error/difficulties e.g. no; 2.0 = Lack of supplies/immunisationation; 3.0 = Staffing problems e.g. doctor unavailable; 4.0 = Other problems with services/service providers; 5.0 = Child was unwell/in hospital when appointment due; 6.0 = Other reason relating to baby; 7.0 = Medical problems related to/bad reactions to; 8.0 = Mother/parent unable to keep appointment; 9.0 = Other reason relating to family; 10.0 = Next appointment in the near future/soon; 11.0 = Doesn t want child to have all immunisations at; 12.0 = Parent hasn t got around to it yet; 13.0 = Prefers to use homeopathic alternative/other method; 14.0 = Parent doesn t like needles/injections; 15.0 = Associated health risks/concerns; 16.0 = Benefits do not outweigh the risks; 17.0 = Believes child is too young, prefers to wait until; 18.0 = Parental choice, no specific reason; 20.0 = No reason given/don t know; 85.0 = Other answer (not codeable 1-18, 20)",0.8296955840420099
3.i.4. Age (in months) allergy to food first noticed: Other Food 1,3.i.4. Age (in months) allergy to food first noticed: Other Food 1: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8482753552104688
3.i.5. Still allergic to food?: Other Food 1,"3.i.5. Still allergic to food?: Other Food 1: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.841498601541014
"3.j.1a. Has the child ever tried the food?: Other Food 2, Specify (de-identified)","3.j.1a. Has the child ever tried the food?: Other Food 2, Specify (de-identified): ",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8424421571837372
3.j.1a. Has the child ever tried the food?: Other Food 2,"3.j.1a. Has the child ever tried the food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8588924154920685
3.j.1b. At what age was the food introduced?: Other Food 2,3.j.1b. At what age was the food introduced?: Other Food 2: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8431150373657862
3.j.2. Do you believe the child has been allergic to the food?: Other Food 2,"3.j.2. Do you believe the child has been allergic to the food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing",Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.837507645693985
3.j.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 2,"3.j.3. Has a doctor or healthcare provider said child is allergic to food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing",Reasons not had any immunisations MC3   ,"Reasons not had any immunisations MC3   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Administrative error/difficulties e.g. no; 2.0 = Lack of supplies/immunisationation; 3.0 = Staffing problems e.g. doctor unavailable; 4.0 = Other problems with services/service providers; 5.0 = Child was unwell/in hospital when appointment due; 6.0 = Other reason relating to baby; 7.0 = Medical problems related to/bad reactions to; 8.0 = Mother/parent unable to keep appointment; 9.0 = Other reason relating to family; 10.0 = Next appointment in the near future/soon; 11.0 = Doesn t want child to have all immunisations at; 12.0 = Parent hasn t got around to it yet; 13.0 = Prefers to use homeopathic alternative/other method; 14.0 = Parent doesn t like needles/injections; 15.0 = Associated health risks/concerns; 16.0 = Benefits do not outweigh the risks; 17.0 = Believes child is too young, prefers to wait until; 18.0 = Parental choice, no specific reason; 20.0 = No reason given/don t know; 85.0 = Other answer (not codeable 1-18, 20)",0.8238260259945351
3.j.4. Age (in months) allergy to food first noticed: Other Food 2,3.j.4. Age (in months) allergy to food first noticed: Other Food 2: ,Age first had solid food,Age first had solid food: -9.0 = Refusal; -8.0 = Don't Know,0.8469687888176859
3.j.5. Still allergic to food?: Other Food 2,"3.j.5. Still allergic to food?: Other Food 2: Yes, No, Not applicable, Declined, Don’t know, Missing",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.8401269604650559
"4.a. Reaction within 2 hours of eating, Egg: Loss of Consciousness","4.a. Reaction within 2 hours of eating, Egg: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7922484520912603
"4.b. Reaction within 2 hours of eating, Cow's Milk: Loss of Consciousness","4.b. Reaction within 2 hours of eating, Cow's Milk: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Age first had cows milk ,Age first had cows milk : -9.0 = Refusal; -8.0 = Don't Know,0.8139990652749521
"4.c. Reaction within 2 hours of eating, Peanut: Loss of Consciousness","4.c. Reaction within 2 hours of eating, Peanut: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7971871484510439
"4.d. Reaction within 2 hours of eating, Tree nuts: No Reaction","4.d. Reaction within 2 hours of eating, Tree nuts: No Reaction: No Reaction: No, No Reaction: Yes",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.798740642468203
"4.d. Reaction within 2 hours of eating, Tree nuts: Vomiting or Stomach Pain","4.d. Reaction within 2 hours of eating, Tree nuts: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7847459634624735
"4.d. Reaction within 2 hours of eating, Tree nuts: Diarrhea","4.d. Reaction within 2 hours of eating, Tree nuts: Diarrhea: Diarrhea: No, Diarrhea: Yes",Health Conditions: Digestive or Bowel   ,Health Conditions: Digestive or Bowel   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7879775153542871
"4.d. Reaction within 2 hours of eating, Tree nuts: Swelling","4.d. Reaction within 2 hours of eating, Tree nuts: Swelling: Swelling: No, Swelling: Yes",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7845769962003202
"4.d. Reaction within 2 hours of eating, Tree nuts: Hives","4.d. Reaction within 2 hours of eating, Tree nuts: Hives: Hives: No, Hives: Yes",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7975108686376993
"4.d. Reaction within 2 hours of eating, Tree nuts: Worsened eczema","4.d. Reaction within 2 hours of eating, Tree nuts: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7897975288427328
"4.d. Reaction within 2 hours of eating, Tree nuts: Cough, wheeze, or chest tightness","4.d. Reaction within 2 hours of eating, Tree nuts: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7997705065926675
"4.d. Reaction within 2 hours of eating, Tree nuts: Loss of Consciousness","4.d. Reaction within 2 hours of eating, Tree nuts: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7925106804044184
"4.d. Reaction within 2 hours of eating, Tree nuts: Other reaction","4.d. Reaction within 2 hours of eating, Tree nuts: Other reaction: Other reaction: No, Other reaction: Yes",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7972054416233971
"4.e. Reaction within 2 hours of eating, Wheat: Loss of Consciousness","4.e. Reaction within 2 hours of eating, Wheat: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7939966638770412
"4.f. Reaction within 2 hours of eating, Soy: Loss of Consciousness","4.f. Reaction within 2 hours of eating, Soy: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7934679178641524
"4.g. Reaction within 2 hours of eating, Shellfish: No Reaction","4.g. Reaction within 2 hours of eating, Shellfish: No Reaction: No Reaction: No, No Reaction: Yes",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7988790361927398
"4.g. Reaction within 2 hours of eating, Shellfish: Vomiting or Stomach Pain","4.g. Reaction within 2 hours of eating, Shellfish: Vomiting or Stomach Pain: Vomiting or Stomach Pain: No, Vomiting or Stomach Pain: Yes",Health Conditions: Digestive or Bowel   ,Health Conditions: Digestive or Bowel   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7885876372699202
"4.g. Reaction within 2 hours of eating, Shellfish: Diarrhea","4.g. Reaction within 2 hours of eating, Shellfish: Diarrhea: Diarrhea: No, Diarrhea: Yes",Health Conditions: Digestive or Bowel   ,Health Conditions: Digestive or Bowel   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7986423009031945
"4.g. Reaction within 2 hours of eating, Shellfish: Swelling","4.g. Reaction within 2 hours of eating, Shellfish: Swelling: Swelling: No, Swelling: Yes",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7860022523958164
"4.g. Reaction within 2 hours of eating, Shellfish: Hives","4.g. Reaction within 2 hours of eating, Shellfish: Hives: Hives: No, Hives: Yes",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7877784195304831
"4.g. Reaction within 2 hours of eating, Shellfish: Worsened eczema","4.g. Reaction within 2 hours of eating, Shellfish: Worsened eczema: Worsened eczema: No, Worsened eczema: Yes",Whether CM has eczema   ,Whether CM has eczema   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7919519331621008
"4.g. Reaction within 2 hours of eating, Shellfish: Cough, wheeze, or chest tightness","4.g. Reaction within 2 hours of eating, Shellfish: Cough, wheeze, or chest tightness: Cough, wheeze, or chest tightness: No, Cough, wheeze, or chest tightness: Yes",Health Conditions: Hay Fever,Health Conditions: Hay Fever: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Yes,0.7932654702260994
"4.g. Reaction within 2 hours of eating, Shellfish: Loss of Consciousness","4.g. Reaction within 2 hours of eating, Shellfish: Loss of Consciousness: Loss of Consciousness: No, Loss of Consciousness: Yes",Content during interruptions of feeding.,Content during interruptions of feeding.: -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7876091347420713
"4.g. Reaction within 2 hours of eating, Shellfish: Other reaction","4.g. Reaction within 2 hours of eating, Shellfish: Other reaction: Other reaction: No, Other reaction: Yes",Solid food at about the same time   ,Solid food at about the same time   : -9.0 = Refusal; -8.0 = Don't Know; -1.0 = Not applicable; 1.0 = Almost never; 2.0 = Rarely; 3.0 = Usually does not; 4.0 = Often; 5.0 = Almost always,0.7985819514700785
